Date,XBANK,BANK_N,CPI,DEP_BAL,IR,Dummy_d
01/01/2007,850.9,1,9.93,1707728,25.5,0
01/02/2007,856.8,1.009636208,10.16,1891897,25.5,0
01/03/2007,896.2,1.055967765,10.86,1951907,25.5,0
01/04/2007,940.9,1.120833345,10.72,2127356,25.5,0
01/05/2007,934.7,1.125385148,9.23,1785736,25.5,0
01/06/2007,929.4,1.105839591,8.6,1960622,25.5,0
01/07/2007,1107.3,1.407648727,6.9,1939081,25.5,0
01/08/2007,1040,1.306446256,7.39,2501684,25.5,0
01/09/2007,1143.1,1.429628774,7.12,2022286,25.25,0
01/10/2007,1266.4,1.6231131,7.7,1996005,24.5,0
01/11/2007,1172.3,1.475035522,8.4,2568964,23.75,0
01/12/2007,1199.7,1.493983361,8.39,2887987,23,0
01/01/2008,901.3,1.110407919,8.17,1997146,22.5,0
01/02/2008,881.7,1.043049528,9.1,2455341,22.25,0
01/03/2008,751.6,0.904898316,9.15,2688355,22.25,0
01/04/2008,852.4,1.009137481,9.66,2321894,22.25,0
01/05/2008,734.3,0.898830214,10.74,2371816,22.75,0
01/06/2008,594.8,0.713589259,10.61,2817890,23.25,0
01/07/2008,826.5,0.989567979,12.06,2445731,23.25,0
01/08/2008,787.3,0.947098269,11.77,2362872,23.25,0
01/09/2008,733.6,0.901217692,11.13,4272487,23.25,0
01/10/2008,576.1,0.644866646,11.99,3011519,22.75,0
01/11/2008,520.6,0.602142142,10.76,2592902,21.75,0
01/12/2008,559.9,0.655479658,10.06,3027673,20.5,0
01/01/2009,517.9,0.607352172,9.5,3055944,18.5,0
01/02/2009,458.3,0.544180483,7.73,3004452,17,0
01/03/2009,523.4,0.619407277,7.89,2865167,16,0
01/04/2009,692.1,0.833990824,6.13,3711630,15.25,0
01/05/2009,765.4,0.949600986,5.24,2856138,14.75,0
01/06/2009,799.6,1.006206477,5.73,3099486,14.25,0
01/07/2009,982.4,1.259698265,5.39,3249721,13.75,0
01/08/2009,1054.2,1.339681023,5.33,3193298,13.25,0
01/09/2009,1070.6,1.370165472,5.27,3280194,12.75,0
01/10/2009,1052.2,1.380276973,5.08,3550193,12.25,0
01/11/2009,998.1,1.2431276,5.53,4234716,12,0
01/12/2009,1195.4,1.510781612,6.53,4277527,12,0
01/01/2010,1183.3,1.483972899,8.19,3228204,12,0
01/02/2010,1076.3,1.337942915,10.13,3626483,12,0
01/03/2010,1284.7,1.624473403,9.56,3313173,12,0
01/04/2010,1324.9,1.666984998,10.19,3972610,12,0
01/05/2010,1251.4,1.578178002,9.1,3869406,12,0
01/06/2010,1271.3,1.631206887,8.37,3563453,12,0
01/07/2010,1416.9,1.81388082,7.58,3977591,12,0
01/08/2010,1379.2,1.768448919,8.33,4420766,12,0
01/09/2010,1521.9,1.949977547,9.24,3987035,11.75,0
01/10/2010,1597.8,2.055153518,8.62,4694433,11.75,0
01/11/2010,1498.1,1.927325026,7.29,4331440,11.75,0
01/12/2010,1436.9,1.837449568,6.4,5065307,12,0
01/01/2011,1323.8,1.714146518,4.9,4705752,12,0
01/02/2011,1295.2,1.679786296,4.16,4998158,12,0
01/03/2011,1315.8,1.688744007,3.99,4483103,12,0
01/04/2011,1415.4,1.818845381,4.26,4971655,12,0
01/05/2011,1288.5,1.639278919,7.17,4747897,12,0
01/06/2011,1307.5,1.674944199,6.24,5567962,12,0
01/07/2011,1292,1.654683282,6.31,5459634,12,0
01/08/2011,1113.6,1.415239488,6.65,7786490,12,0
01/09/2011,1283.2,1.657334407,6.15,6363099,12,0
01/10/2011,1103.3,1.403600225,7.66,5988481,15.5,0
01/11/2011,1075.5,1.347503586,9.48,5513729,15.5,0
01/12/2011,987.5,1.25447351,10.45,6158427,15.5,0
01/01/2012,1106.8,1.417794123,10.61,5251361,15.5,0
01/02/2012,1164,1.474225671,10.43,5222164,14.5,0
01/03/2012,1220.3,1.553914804,10.43,6011222,14.5,0
01/04/2012,1130.6,1.42837224,11.14,6763542,14.5,0
01/05/2012,1034.7,1.304201928,8.28,5563348,14.5,0
01/06/2012,1250.4,1.598442415,8.87,6225010,14.5,0
01/07/2012,1285.3,1.597443975,9.07,5906565,14.5,0
01/08/2012,1391.5,1.765301229,8.88,7217218,14.5,0
01/09/2012,1349,1.720220848,9.19,6581370,13,0
01/10/2012,1532.9,1.949663606,7.8,7676857,12.5,0
01/11/2012,1524.1,1.947597116,6.37,7224821,12,0
01/12/2012,1625.1,2.103786792,6.16,8009578,12,0
01/01/2013,1625.3,2.10958433,7.31,6432948,11.75,0
01/02/2013,1615.1,2.104701399,7.03,6913959,11.5,0
01/03/2013,1773.6,2.314179458,7.29,7041754,10.5,0
01/04/2013,1788.1,2.373187972,6.13,7687826,10,0
01/05/2013,1759.4,2.305851494,6.51,7669226,9.5,0
01/06/2013,1488.3,1.946971427,8.3,7739012,9.5,0
01/07/2013,1366.1,1.789668324,8.88,7473401,10.25,0
01/08/2013,1257.7,1.673810286,8.17,8484283,10.25,0
01/09/2013,1406.7,1.878664196,7.88,8915150,10.25,0
01/10/2013,1464.7,1.934569777,7.71,8723929,10.25,0
01/11/2013,1392.2,1.827000804,7.32,8476307,10.25,0
01/12/2013,1219.2,1.616620728,7.4,9157980,10.25,0
01/01/2014,1064.4,1.39921329,7.75,8911275,15,0
01/02/2014,1067.5,1.405924383,7.89,9383111,15,0
01/03/2014,1273.3,1.702286382,8.39,9221683,15,0
01/04/2014,1360,1.835812364,9.38,9180755,13.5,0
01/05/2014,1531.5,2.069356299,9.66,8908848,13.5,0
01/06/2014,1479.6,1.995188611,9.16,9778971,13.5,0
01/07/2014,1561,2.118410998,9.32,11888705,13.5,0
01/08/2014,1505.5,2.054852982,9.54,9198577,12.75,0
01/09/2014,1370.5,1.875163405,8.86,10304711,12.75,0
01/10/2014,1487.4,2.051353847,8.96,10206610,12.75,0
01/11/2014,1642.9,2.268551214,9.15,9568213,12.75,0
01/12/2014,1589.4,2.161077166,8.17,10429117,12.75,0
01/01/2015,1712.3,2.345220061,7.24,9974829,12.75,0
01/02/2015,1544.7,2.10344717,7.55,10698203,12.25,0
01/03/2015,1417.5,1.959421541,7.61,10003461,12.25,0
01/04/2015,1461,1.973139968,7.91,11693940,12.25,0
01/05/2015,1445.7,1.966953224,8.09,9897366,12.25,0
01/06/2015,1405.2,1.912881153,7.2,10193711,12.25,0
01/07/2015,1363.7,1.856852039,6.81,10601398,12.25,0
01/08/2015,1243.7,1.701956419,7.14,11412203,12.25,0
01/09/2015,1195.2,1.645510964,7.95,12238415,12.25,0
01/10/2015,1294.7,1.777817466,7.58,11050328,12.25,0
01/11/2015,1236.4,1.69089719,8.1,11037802,12.25,0
01/12/2015,1199.2,1.641202816,8.81,11802687,12.25,0
01/01/2016,1243.7,1.732603611,9.58,10100811,12.25,0
01/02/2016,1253.2,1.770530055,8.78,11136555,12.25,0
01/03/2016,1361.3,1.970089343,7.46,10384053,12,0
01/04/2016,1431.2,2.077274406,6.57,10395648,11.5,0
01/05/2016,1286.2,1.904314525,6.58,10204051,11,0
01/06/2016,1294.1,1.913833244,7.64,12426990,10.5,0
01/07/2016,1231.6,1.801732929,8.79,11204287,10.25,0
01/08/2016,1279,1.848613338,8.05,12020733,10,0
01/09/2016,1311.5,1.912639889,7.28,12942674,9.75,0
01/10/2016,1361.9,1.969625197,7.16,12429037,9.75,0
01/11/2016,1230.9,1.737046142,7,11659476,10,0
01/12/2016,1295.5,1.827259839,8.53,12318370,10,0
01/01/2017,1434.6,2.008414649,9.22,10776182,11,0
01/02/2017,1485.3,2.085865389,10.13,11024991,11,0
01/03/2017,1484.2,2.098340105,11.29,12104064,11.75,0
01/04/2017,1630.4,2.342596087,11.87,12019648,12.25,0
01/05/2017,1654.5,2.408810171,11.72,10870466,12.25,0
01/06/2017,1706.1,2.460180202,10.9,13199846,12.25,0
01/07/2017,1827,2.624930892,9.79,12508228,12.25,0
01/08/2017,1834.3,2.680828684,10.68,14737045,12.25,0
01/09/2017,1637.1,2.397068762,11.2,12615251,12.25,0
01/10/2017,1713.1,2.535399344,11.9,11669950,12.25,0
01/11/2017,1527.8,2.310180804,12.98,11959812,12.25,0
01/12/2017,1713.8,2.563906118,11.92,13735741,12.75,0
01/01/2018,1899.2,2.867546831,10.35,11150634,12.75,0
01/02/2018,1830.4,2.797608762,10.26,11520779,12.75,0
01/03/2018,1687.2,2.561781905,10.23,12456237,12.75,0
01/04/2018,1477.4,2.261434563,10.85,14009467,13.5,0
01/05/2018,1407.9,2.221433534,12.15,11955585,16.5,0
01/06/2018,1327.6,2.062676829,15.39,13277786,20.75,0
01/07/2018,1193.4,1.798802214,15.85,12807727,20.75,0
01/08/2018,978.9,1.486895234,17.9,17311654,20.75,0
01/09/2018,1167.2,1.783602595,24.52,14079353,27,0
01/10/2018,1074.5,1.604775603,25.24,12922527,27,0
01/11/2018,1238.7,1.87311498,21.62,13195352,27,0
01/12/2018,1177.4,1.770206425,20.3,14267726,27,0
01/01/2019,1380.8,2.094738607,20.35,11459071,27,0
01/02/2019,1380.6,2.12913577,19.67,11681275,27,0
01/03/2019,1272.8,1.954131563,19.71,12955745,27,0
01/04/2019,1228.5,1.894769242,19.5,12738223,27,0
01/05/2019,1179.1,1.811210066,18.71,18329003,27,0
01/06/2019,1351.7,2.092935356,15.72,13090880,27,0
01/07/2019,1473,2.34480234,16.65,12077175,22.75,0
01/08/2019,1335.6,2.102170348,15.01,14566973,22.75,0
01/09/2019,1533.5,2.381263192,9.26,14008393,19.5,0
01/10/2019,1359.6,2.109119558,8.55,12731285,17,0
01/11/2019,1500,2.330948993,10.56,13089425,17,0
01/12/2019,1601.7,2.505540359,11.84,13938577,15,0
01/01/2020,1734.8,2.774224101,12.15,13784093,14.25,0
01/02/2020,1399.2,2.220570824,12.37,13112304,13.75,0
01/03/2020,1175.6,1.871723516,11.86,15276954,12.75,0
01/04/2020,1234.3,1.935132636,10.94,19706050,11.75,0
01/05/2020,1220.8,1.908228786,11.39,16757665,11.25,0
01/06/2020,1334.7,2.087539979,12.62,14631901,11.25,0
01/07/2020,1152,1.763428744,11.76,18395306,11.25,0
01/08/2020,1096.3,1.664551786,11.77,15995890,11.25,0
01/09/2020,1156.6,1.732916102,11.75,15803497,13.25,0
01/10/2020,1134.7,1.629925733,11.89,17163615,14.75,0
01/11/2020,1407,2.110436229,14.03,15633024,19.5,0
01/12/2020,1557.8,2.389028009,14.6,15982992,21.5,0
01/01/2021,1426.8,2.161570533,14.97,14395236,21.5,0
01/02/2021,1356.2,2.055151706,15.61,14182432,21.5,0
01/03/2021,1076,1.613192222,16.19,14907964,23.5,0
01/04/2021,1099.7,1.667974801,17.14,16750561,23.5,0
01/05/2021,1171.5,1.810168105,16.59,15842294,23.5,0
01/06/2021,1195.6,1.845944507,17.53,14677818,23.5,0
01/07/2021,1215.7,1.898721836,18.95,17278921,23.5,0
01/08/2021,1352.8,2.13033601,19.25,17100366,23.5,0
01/09/2021,1244.1,1.961788862,19.58,15772621,22.5,1
01/10/2021,1346.6,2.126490462,19.89,18654878,20.5,1
01/11/2021,1535.6,2.421677669,21.31,16583734,19.5,1
01/12/2021,1595.7,2.487919751,36.08,17021507,18.5,1
01/01/2022,1765.2,2.733332057,48.69,16287114,18.5,1
01/02/2022,1601.8,2.458911402,54.44,16916726,18.5,1
01/03/2022,1739.4,2.685212426,61.14,16941075,18.5,1
01/04/2022,2105.2,3.301964545,69.97,26152071,18.5,1
01/05/2022,2093.8,3.177673602,73.5,18665425,18.5,1
01/06/2022,1942.4,3.013526518,78.62,21491711,18.5,1
01/07/2022,2162.6,3.21675519,79.6,22989653,18.5,1
01/08/2022,3282.6,4.965024403,80.21,23792096,17.5,1
01/09/2022,2964.7,4.542379795,83.45,25182046,16.5,1
01/10/2022,3733.6,5.68813537,85.51,25541424,15,1
01/11/2022,4461.3,6.778688292,84.39,24355950,13.5,1
01/12/2022,5027.7,7.42140898,64.27,29340075,13.5,1
01/01/2023,4196.2,5.976413554,57.68,26005011,13.5,1
01/02/2023,4349.1,6.10359357,55.18,28616224,13,1
01/03/2023,4488.2,6.397196188,50.51,30657030,13,1
01/04/2023,4159.4,6.497094586,43.68,36070966,13,1
01/05/2023,4277.8,6.815091441,39.59,30450834,13,1
01/06/2023,5250.9,8.286890418,38.21,46580940,19.5,0
01/07/2023,6440.1,10.63293684,47.83,36960964,22,0
01/08/2023,7379.1,11.80912291,58.94,39233706,29.5,0
01/09/2023,8656.8,13.04741697,61.53,37686810,34.5,0
